Website,Category,Rank,Size,Business model,Login,Advertising,Safe,Unsafe,Primary,Secondary,Total,UnsafePrimary,UnsafeSecondary,UnsafeTotal,UnsafePrimaryNetChange,UnsafePrimaryAdd,UnsafePrimaryDrop,UnsafeSecondaryNetChange,UnsafeSecondaryAdd,UnsafeSecondaryDrop,UnsafeTotalNetChange,UnsafeTotalAdd,UnsafeTotalDrop,RespectDummy,Respect,AbuseObfuscate,AbuseDoNotObfuscate,ObfuscateLevel,TotalRespect,TotalDoNotObfuscate,TotalObfuscateLevel,AbuseDummy,ObfuscateDummy,Abuse,Obfuscate,SecondaryAbuseDummy,SecondaryObfuscateDummy,SecondaryAbuse,SecondaryObfuscate,TotalAbuseDummy,TotalObfuscateDummy,TotalAbuse,TotalObfuscate
Deccanherald.com,0,150,99985,advertising,1,1,44,54,20,84,104,14,40,54,-2,0,1,-1,9,11,-3,9,12,1,2,0,0,0,12,9,0,0,0,0,1,0,1,9,20,0,0,0,21
Syracuse.com,0,151,1095058,subscription and advertising,1,1,17,38,14,41,55,11,27,38,-1,0,1,-2,8,10,-3,8,11,1,1,0,0,0,11,8,0,0,0,0,1,0,1,8,18,0,0,0,19
Bostonherald.com,0,154,1092539,subscription and advertising,1,1,28,30,18,40,58,11,19,30,0,0,0,-3,3,6,-3,3,6,1,0,0,0,0,6,3,0,0,0,0,0,0,1,3,9,0,0,0,9
Tennessean.com,0,156,178179,subscription and advertising,1,1,33,43,31,45,76,14,29,43,-1,0,1,7,10,3,6,10,4,1,1,0,0,0,0,0,13,0,0,0,1,1,1,10,13,1,1,6,14
Orlandosentinel.com,0,157,1535840,subscription and advertising,1,1,33,34,32,38,70,18,16,34,1,4,2,9,16,8,10,20,10,0,0,1,0,6,0,0,24,1,1,1,6,1,1,16,24,1,1,10,30
Triblive.com,0,159,1113954,advertising,0,1,42,40,18,64,82,11,29,40,-1,0,1,-9,3,12,-10,3,13,1,1,0,0,0,13,3,0,0,0,0,1,0,1,3,15,0,0,0,16
Thewest.com.au,0,163,105113,subscription and advertising,1,1,13,19,14,18,32,8,11,19,0,0,0,-1,3,4,-1,3,4,1,0,0,0,0,4,3,0,0,0,0,0,0,1,3,7,0,0,0,7
Parade.com,0,165,1028250,subscription and donation,1,0,36,44,19,61,80,12,32,44,0,0,0,-17,2,19,-17,2,19,1,0,0,0,0,19,2,0,0,0,0,0,0,1,2,21,0,0,0,21
Federalreserve.gov,0,167,720883,information,0,0,2,3,3,2,5,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Star-telegram.com,0,173,1237267,subscription and advertising,1,1,45,51,19,78,97,12,39,51,0,0,0,4,9,5,4,9,5,1,0,0,0,0,0,0,14,0,0,0,0,1,1,9,14,1,1,4,14
Thedrum.com,0,174,1237267,subscription and advertising,1,1,8,28,14,22,36,12,16,28,0,0,0,-3,0,3,-3,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Desmoinesregister.com,0,177,751324,subscription and advertising,1,1,42,46,28,60,88,13,33,46,-1,0,1,-8,4,12,-9,4,13,1,1,0,0,0,13,4,0,0,0,0,1,0,1,4,16,0,0,0,17
Twincities.com,0,178,870366,subscription and advertising,1,1,50,48,19,79,98,12,36,48,0,0,0,-6,8,14,-6,8,14,1,0,0,0,0,14,8,0,0,0,0,0,0,1,8,22,0,0,0,22
Rferl.org,0,179,458685,sponsoring,0,0,4,18,11,11,22,8,10,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Csmonitor.com,0,182,718345,subscription and advertising,1,1,12,23,10,25,35,7,16,23,-1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,2
Mysanantonio.com,0,187,678993,subscription and advertising,1,1,40,46,26,60,86,15,31,46,2,2,0,7,13,6,9,15,6,0,0,0,2,2,0,0,19,1,0,2,2,1,1,13,19,1,1,9,21
Timesunion.com,0,188,738643,subscription and advertising,1,1,32,41,13,60,73,10,31,41,-1,0,1,-5,6,11,-6,6,12,1,1,0,0,0,12,6,0,0,0,0,1,0,1,6,17,0,0,0,18
Buffalonews.com,0,189,738643,subscription and advertising,1,1,49,43,20,72,92,14,29,43,4,4,0,13,21,8,17,25,8,0,0,0,4,4,0,0,29,1,0,4,4,1,1,21,29,1,1,17,33
Stripes.com,0,195,672643,subscription and advertising,1,1,11,18,13,16,29,10,8,18,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1
Weatheronline.co.uk,0,196,115368,advertising,1,1,3,9,10,2,12,8,1,9,0,0,0,-1,0,1,-1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Macleans.ca,0,198,225608,subscription and advertising,1,1,25,36,19,42,61,14,22,36,2,1,0,-1,5,5,1,6,5,0,0,0,2,1,0,0,10,1,0,2,1,0,1,5,10,1,1,1,11
Westword.com,0,202,907037,subscription and advertising,1,1,32,30,18,44,62,11,19,30,1,1,0,11,14,3,12,15,3,0,0,0,1,1,0,0,17,1,0,1,1,1,1,14,17,1,1,12,18
Dailypioneer.com,0,204,41019,advertising,0,1,7,8,5,15,20,3,5,8,0,0,0,5,6,1,5,6,1,1,0,0,0,0,0,0,7,0,0,0,0,1,1,6,7,1,1,5,7
Law.com,0,207,755127,subscription and advertising,1,1,21,29,15,35,50,9,20,29,0,0,0,-2,1,3,-2,1,3,1,0,0,0,0,3,1,0,0,0,0,0,0,1,1,4,0,0,0,4
Spokesman.com,0,212,657397,subscription and advertising,1,1,12,20,6,26,32,4,16,20,0,0,0,4,4,0,4,4,0,1,0,0,0,0,0,4,4,0,0,0,0,1,0,4,4,1,0,4,4
Truthdig.com,0,214,523762,subscription and advertising,1,1,9,22,16,15,31,11,11,22,-2,0,2,-2,2,4,-4,2,6,1,2,0,0,0,6,2,0,0,0,0,2,0,1,2,6,0,0,0,8
Rollcall.com,0,220,823544,advertising,0,1,22,36,14,44,58,10,26,36,0,0,0,-16,0,15,-16,0,15,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,15
